Log started on 2/3/2022
Connected to Server at 16:45:39
16:51:22:Device Configured
UID: SA_P2
Mode: Static
Trial: 1
Duration: 180 seconds
Sampling Rate: 1000
Buffer Size: 1000
User: Sanjay Sarma O V
-----------------------------------
Selected MCC 118 HAT device at address:0
Device in continous scan mode
Channels: 0, 1, 2,  
Requested Scan Rate: 1000 
Actual Scan Rate: 1000.0 
16:53:10:Time Elapsed (s):106 of 180
16:53:11:Time Elapsed (s):107 of 180
16:53:12:Time Elapsed (s):108 of 180
16:53:13:Time Elapsed (s):109 of 180
16:53:14:Time Elapsed (s):110 of 180
16:53:15:Time Elapsed (s):111 of 180
16:53:16:Time Elapsed (s):112 of 180
16:53:17:Time Elapsed (s):113 of 180
16:53:18:Time Elapsed (s):114 of 180
16:53:19:Time Elapsed (s):115 of 180
16:53:20:Time Elapsed (s):116 of 180
16:53:21:Time Elapsed (s):117 of 180
16:53:22:Time Elapsed (s):118 of 180
16:53:23:Time Elapsed (s):119 of 180
16:53:24:Time Elapsed (s):120 of 180
16:53:25:Time Elapsed (s):121 of 180
16:53:26:Time Elapsed (s):122 of 180
16:53:27:Time Elapsed (s):123 of 180
16:53:28:Time Elapsed (s):124 of 180
16:53:29:Time Elapsed (s):125 of 180
16:53:30:Time Elapsed (s):126 of 180
16:53:31:Time Elapsed (s):127 of 180
16:53:32:Time Elapsed (s):128 of 180
16:53:33:Time Elapsed (s):129 of 180
16:53:34:Time Elapsed (s):130 of 180
16:53:35:Time Elapsed (s):131 of 180
16:53:36:Time Elapsed (s):132 of 180
16:53:37:Time Elapsed (s):133 of 180
16:53:38:Time Elapsed (s):134 of 180
16:53:39:Time Elapsed (s):135 of 180
16:53:40:Time Elapsed (s):136 of 180
16:53:41:Time Elapsed (s):137 of 180
16:53:42:Time Elapsed (s):138 of 180
16:53:43:Time Elapsed (s):139 of 180
16:53:44:Time Elapsed (s):140 of 180
16:53:45:Time Elapsed (s):141 of 180
16:53:46:Time Elapsed (s):142 of 180
16:53:47:Time Elapsed (s):143 of 180
16:53:48:Time Elapsed (s):144 of 180
16:53:49:Time Elapsed (s):145 of 180
16:53:50:Time Elapsed (s):146 of 180
16:53:51:Time Elapsed (s):147 of 180
16:53:52:Time Elapsed (s):148 of 180
16:53:53:Time Elapsed (s):149 of 180
16:53:54:Time Elapsed (s):150 of 180
16:53:55:Time Elapsed (s):151 of 180
16:53:56:Time Elapsed (s):152 of 180
16:53:57:Time Elapsed (s):153 of 180
16:53:58:Time Elapsed (s):154 of 180
16:53:59:Time Elapsed (s):155 of 180
16:54:0:Time Elapsed (s):156 of 180
16:54:1:Time Elapsed (s):157 of 180
16:54:2:Time Elapsed (s):158 of 180
16:54:3:Time Elapsed (s):159 of 180
16:54:4:Time Elapsed (s):160 of 180
16:54:5:Time Elapsed (s):161 of 180
16:54:6:Time Elapsed (s):162 of 180
16:54:7:Time Elapsed (s):163 of 180
16:54:8:Time Elapsed (s):164 of 180
16:54:9:Time Elapsed (s):165 of 180
16:54:10:Time Elapsed (s):166 of 180
16:54:11:Time Elapsed (s):167 of 180
16:54:12:Time Elapsed (s):168 of 180
16:54:13:Time Elapsed (s):169 of 180
16:54:14:Time Elapsed (s):170 of 180
16:54:15:Time Elapsed (s):171 of 180
16:54:16:Time Elapsed (s):172 of 180
16:54:17:Time Elapsed (s):173 of 180
16:54:18:Time Elapsed (s):174 of 180
16:54:19:Time Elapsed (s):175 of 180
16:54:20:Time Elapsed (s):176 of 180
16:54:21:Time Elapsed (s):177 of 180
16:54:22:Time Elapsed (s):178 of 180
16:54:23:Time Elapsed (s):179 of 180
16:54:24:Time Elapsed (s):180 of 180
16:54:24:Recording Ended 
Data Recording Complete for a Duration of 180s
Final Data Frame Size:(180000, 4)
